timestamp,open,high,low,close,adjusted close,volume,dividend amount
2007-03-09,90.2500,94.8500,90.1000,93.2800,48.8364,43505100,0.0000
2007-03-02,97.8600,97.8600,88.7700,90.9000,47.5904,52427400,0.0000
2007-02-23,98.6600,99.5000,97.4100,97.7300,51.1662,20682500,0.0000
2007-02-16,98.8000,99.5200,97.8000,98.9900,51.8258,27047900,0.0000
2007-02-09,99.1700,100.4400,97.8100,98.5500,51.5955,34668400,0.3000
2007-02-02,98.1000,99.7300,97.4500,99.1700,51.7641,34172300,0.0000
2007-01-26,96.4200,97.9200,96.1200,97.4500,50.8663,41549100,0.0000
2007-01-19,99.4000,100.9000,94.5500,96.1700,50.1982,58474800,0.0000
2007-01-12,98.5000,100.3300,97.9300,99.3400,51.8528,44830200,0.0000
2007-01-05,97.1700,98.7900,96.2600,97.4200,50.8506,26942600,0.0000
2006-12-29,95.0000,97.8800,94.9200,97.1500,50.7097,15807900,0.0000
2006-12-22,94.9500,96.5000,94.8000,95.2500,49.7179,24009800,0.0000
2006-12-15,93.7200,95.8000,93.3000,95.3000,49.7440,30414900,0.0000
2006-12-08,92.5000,94.8700,92.2500,93.8600,48.9924,28792200,0.0000
2006-12-01,92.7100,93.2400,90.4300,91.2500,47.6300,27785200,0.0000
2006-11-24,93.7700,93.8000,92.8000,93.3500,48.7262,13559900,0.0000
2006-11-17,91.7500,94.0500,91.4100,93.8100,48.9663,23826600,0.0000
2006-11-10,91.5000,93.4000,91.5000,91.7600,47.8963,29456500,0.3000
2006-11-03,90.3000,92.6800,89.8000,91.4100,47.5595,30108500,0.0000
2006-10-27,90.0500,92.0000,90.0100,90.7600,47.2213,35037300,0.0000
2006-10-20,86.0800,92.0400,85.7500,90.4800,47.0756,67866100,0.0000
2006-10-13,83.1400,86.2100,83.0000,86.0800,44.7863,26864000,0.0000
2006-10-06,81.7600,83.7800,81.5600,83.1400,43.2567,25738600,0.0000
2006-09-29,81.6400,82.7900,81.2800,81.9400,42.6323,25658300,0.0000
2006-09-22,82.5600,83.7900,81.0100,81.2100,42.2525,30290000,0.0000
2006-09-15,80.6000,83.5900,80.2500,82.9400,43.1526,27425800,0.0000
2006-09-08,81.1900,81.5400,79.3100,80.6600,41.9664,16108000,0.0000
2006-09-01,79.9100,81.6800,79.7600,81.4100,42.3566,22236900,0.0000
2006-08-25,79.5100,80.0000,78.4200,79.8800,41.5606,18060100,0.0000
2006-08-18,75.8500,79.9700,75.6000,79.9000,41.5710,29303900,0.0000
2006-08-11,75.6300,76.2800,75.0500,75.4800,39.2713,19054700,0.3000
2006-08-04,76.4400,77.5000,74.9000,75.9100,39.3383,20900500,0.0000
2006-07-28,74.9200,77.3000,74.9200,76.9600,39.8825,25666400,0.0000
2006-07-21,73.3400,77.0600,72.7300,74.8600,38.7942,50614500,0.0000
2006-07-14,76.1800,76.8300,73.3700,73.5700,38.1257,37325800,0.0000
2006-07-07,77.5400,78.5300,76.1200,76.4200,39.6026,18199800,0.0000
2006-06-30,77.0400,77.9300,76.0600,76.8200,39.8099,26797500,0.0000
2006-06-23,78.0600,78.5600,76.9400,77.1000,39.9550,27070000,0.0000
2006-06-16,77.6800,78.7800,76.8200,77.9500,40.3955,33150500,0.0000
2006-06-09,79.1000,80.7400,76.7500,78.0100,40.4266,40341000,0.0000
2006-06-02,80.3500,80.9600,79.1500,79.5200,41.2091,23532800,0.0000
2006-05-26,79.9400,81.3000,79.0000,80.7500,41.8465,26222700,0.0000
2006-05-19,81.8000,83.2500,79.5100,80.2800,41.6030,28629900,0.0000
2006-05-12,82.6000,83.6900,82.3000,82.3900,42.6964,22319900,0.3000
2006-05-05,82.5900,83.5500,82.0000,82.9800,42.8471,24540000,0.0000
2006-04-28,81.3000,84.4000,81.1000,82.3400,42.5166,36485300,0.0000
2006-04-21,81.7700,84.0000,81.2600,81.6600,42.1655,35449300,0.0000
2006-04-13,82.4900,82.7400,80.6300,81.9800,42.3308,18292300,0.0000
2006-04-07,82.7200,84.4500,82.4400,82.4800,42.5889,23780100,0.0000
2006-03-31,82.9800,83.7000,82.2000,82.4700,42.5838,23139800,0.0000
2006-03-24,83.1100,84.9900,82.9300,83.3600,43.0433,25547800,0.0000
2006-03-17,81.5600,83.7600,81.4500,83.3000,43.0123,25173700,0.0000
2006-03-10,80.0500,82.2500,79.8600,81.5700,42.1191,23708100,0.0000
2006-03-03,80.0000,80.8900,79.5100,79.9600,41.2877,23693200,0.0000
2006-02-24,80.1000,81.6500,79.8500,80.1000,41.3600,20014900,0.0000
2006-02-17,81.3300,81.9100,80.1300,80.7100,41.6750,26994200,0.0000
2006-02-10,79.9400,81.4600,78.9300,81.3300,41.9951,32826100,0.2000
2006-02-03,81.0200,82.2400,79.7200,79.9700,41.1909,33566000,0.0000
2006-01-27,81.3300,82.1500,80.5900,81.0200,41.7318,32471000,0.0000
2006-01-20,82.8000,84.7000,81.2500,81.3600,41.9069,34792500,0.0000
2006-01-13,83.9000,84.8100,82.5000,83.1700,42.8392,30173200,0.0000
2006-01-06,82.4500,85.0300,80.8100,84.9500,43.7560,36958200,0.0000
2005-12-30,83.4800,84.5000,81.5600,82.2000,42.3396,17622000,0.0000
